Subject	Act_Label	tBodyAcc-meanXMean	tBodyAcc-meanXN	tBodyAcc-meanYMean	tBodyAcc-meanYN	tBodyAcc-meanZMean	tBodyAcc-meanZN	tBodyAcc-stdXMean	tBodyAcc-stdXN	tBodyAcc-stdYMean	tBodyAcc-stdYN	tBodyAcc-stdZMean	tBodyAcc-stdZN	tGravityAcc-meanXMean	tGravityAcc-meanXN	tGravityAcc-meanYMean	tGravityAcc-meanYN	tGravityAcc-meanZMean	tGravityAcc-meanZN	tGravityAcc-stdXMean	tGravityAcc-stdXN	tGravityAcc-stdYMean	tGravityAcc-stdYN	tGravityAcc-stdZMean	tGravityAcc-stdZN	tBodyAccJerk-meanXMean	tBodyAccJerk-meanXN	tBodyAccJerk-meanYMean	tBodyAccJerk-meanYN	tBodyAccJerk-meanZMean	tBodyAccJerk-meanZN	tBodyAccJerk-stdXMean	tBodyAccJerk-stdXN	tBodyAccJerk-stdYMean	tBodyAccJerk-stdYN	tBodyAccJerk-stdZMean	tBodyAccJerk-stdZN	tBodyGyro-meanXMean	tBodyGyro-meanXN	tBodyGyro-meanYMean	tBodyGyro-meanYN	tBodyGyro-meanZMean	tBodyGyro-meanZN	tBodyGyro-stdXMean	tBodyGyro-stdXN	tBodyGyro-stdYMean	tBodyGyro-stdYN	tBodyGyro-stdZMean	tBodyGyro-stdZN	tBodyGyroJerk-meanXMean	tBodyGyroJerk-meanXN	tBodyGyroJerk-meanYMean	tBodyGyroJerk-meanYN	tBodyGyroJerk-meanZMean	tBodyGyroJerk-meanZN	tBodyGyroJerk-stdXMean	tBodyGyroJerk-stdXN	tBodyGyroJerk-stdYMean	tBodyGyroJerk-stdYN	tBodyGyroJerk-stdZMean	tBodyGyroJerk-stdZN	tBodyAccMag-meanMean	tBodyAccMag-meanN	tBodyAccMag-stdMean	tBodyAccMag-stdN	tGravityAccMag-meanMean	tGravityAccMag-meanN	tGravityAccMag-stdMean	tGravityAccMag-stdN	tBodyAccJerkMag-meanMean	tBodyAccJerkMag-meanN	tBodyAccJerkMag-stdMean	tBodyAccJerkMag-stdN	tBodyGyroMag-meanMean	tBodyGyroMag-meanN	tBodyGyroMag-stdMean	tBodyGyroMag-stdN	tBodyGyroJerkMag-meanMean	tBodyGyroJerkMag-meanN	tBodyGyroJerkMag-stdMean	tBodyGyroJerkMag-stdN	fBodyAcc-meanXMean	fBodyAcc-meanXN	fBodyAcc-meanYMean	fBodyAcc-meanYN	fBodyAcc-meanZMean	fBodyAcc-meanZN	fBodyAcc-stdXMean	fBodyAcc-stdXN	fBodyAcc-stdYMean	fBodyAcc-stdYN	fBodyAcc-stdZMean	fBodyAcc-stdZN	fBodyAcc-meanFreqXMean	fBodyAcc-meanFreqXN	fBodyAcc-meanFreqYMean	fBodyAcc-meanFreqYN	fBodyAcc-meanFreqZMean	fBodyAcc-meanFreqZN	fBodyAccJerk-meanXMean	fBodyAccJerk-meanXN	fBodyAccJerk-meanYMean	fBodyAccJerk-meanYN	fBodyAccJerk-meanZMean	fBodyAccJerk-meanZN	fBodyAccJerk-stdXMean	fBodyAccJerk-stdXN	fBodyAccJerk-stdYMean	fBodyAccJerk-stdYN	fBodyAccJerk-stdZMean	fBodyAccJerk-stdZN	fBodyAccJerk-meanFreqXMean	fBodyAccJerk-meanFreqXN	fBodyAccJerk-meanFreqYMean	fBodyAccJerk-meanFreqYN	fBodyAccJerk-meanFreqZMean	fBodyAccJerk-meanFreqZN	fBodyGyro-meanXMean	fBodyGyro-meanXN	fBodyGyro-meanYMean	fBodyGyro-meanYN	fBodyGyro-meanZMean	fBodyGyro-meanZN	fBodyGyro-stdXMean	fBodyGyro-stdXN	fBodyGyro-stdYMean	fBodyGyro-stdYN	fBodyGyro-stdZMean	fBodyGyro-stdZN	fBodyGyro-meanFreqXMean	fBodyGyro-meanFreqXN	fBodyGyro-meanFreqYMean	fBodyGyro-meanFreqYN	fBodyGyro-meanFreqZMean	fBodyGyro-meanFreqZN	fBodyAccMag-meanMean	fBodyAccMag-meanN	fBodyAccMag-stdMean	fBodyAccMag-stdN	fBodyAccMag-meanFreqMean	fBodyAccMag-meanFreqN	fBodyBodyAccJerkMag-meanMean	fBodyBodyAccJerkMag-meanN	fBodyBodyAccJerkMag-stdMean	fBodyBodyAccJerkMag-stdN	fBodyBodyAccJerkMag-meanFreqMean	fBodyBodyAccJerkMag-meanFreqN	fBodyBodyGyroMag-meanMean	fBodyBodyGyroMag-meanN	fBodyBodyGyroMag-stdMean	fBodyBodyGyroMag-stdN	fBodyBodyGyroMag-meanFreqMean	fBodyBodyGyroMag-meanFreqN	fBodyBodyGyroJerkMag-meanMean	fBodyBodyGyroJerkMag-meanN	fBodyBodyGyroJerkMag-stdMean	fBodyBodyGyroJerkMag-stdN	fBodyBodyGyroJerkMag-meanFreqMean	fBodyBodyGyroJerkMag-meanFreqN	angle_tBodyAccMean_gravityMean	angle_tBodyAccMean_gravityN	angle_tBodyAccJerkMean_gravityMeanMean	angle_tBodyAccJerkMean_gravityMeanN	angle_tBodyGyroMean_gravityMeanMean	angle_tBodyGyroMean_gravityMeanN	angle_tBodyGyroJerkMean_gravityMeanMean	angle_tBodyGyroJerkMean_gravityMeanN	angle_X_gravityMeanMean	angle_X_gravityMeanN	angle_Y_gravityMeanMean	angle_Y_gravityMeanN	angle_Z_gravityMeanMean	angle_Z_gravityMeanN
1	LAYING	0.221598	50	-0.040514	50	-0.113204	50	-0.928056	50	-0.836827	50	-0.826061	50	-0.248882	50	0.705550	50	0.445818	50	-0.896830	50	-0.907720	50	-0.852366	50	0.081087	50	0.003838	50	0.010834	50	-0.958482	50	-0.924149	50	-0.954855	50	-0.016553	50	-0.064486	50	0.148689	50	-0.873544	50	-0.951090	50	-0.908285	50	-0.107271	50	-0.041517	50	-0.074050	50	-0.918609	50	-0.967907	50	-0.957790	50	-0.841929	50	-0.795145	50	-0.841929	50	-0.795145	50	-0.954396	50	-0.928246	50	-0.874760	50	-0.819010	50	-0.963461	50	-0.935841	50	-0.939099	50	-0.867065	50	-0.882667	50	-0.924437	50	-0.833626	50	-0.812892	50	-0.158793	50	0.097535	50	0.089438	50	-0.957074	50	-0.922463	50	-0.948061	50	-0.964161	50	-0.932218	50	-0.960587	50	0.132419	50	0.024514	50	0.024388	50	-0.850249	50	-0.952191	50	-0.909303	50	-0.882296	50	-0.951232	50	-0.916583	50	-0.003547	50	-0.091529	50	0.010458	50	-0.861768	50	-0.798301	50	0.086409	50	-0.933300	50	-0.921804	50	0.266391	50	-0.862190	50	-0.824319	50	-0.139775	50	-0.942367	50	-0.932661	50	0.176486	50	0.021366	50	0.003060	50	-0.001667	50	0.084437	50	0.426706	50	-0.520344	50	-0.352413	50
1	SITTING	0.261238	47	-0.001308	47	-0.104544	47	-0.977229	47	-0.922619	47	-0.939586	47	0.831510	47	0.204412	47	0.332044	47	-0.968457	47	-0.935517	47	-0.949041	47	0.077483	47	-0.000619	47	-0.003368	47	-0.986431	47	-0.981372	47	-0.987911	47	-0.045350	47	-0.091924	47	0.062931	47	-0.977211	47	-0.966474	47	-0.941426	47	-0.093679	47	-0.040212	47	-0.046703	47	-0.991732	47	-0.989518	47	-0.987936	47	-0.948537	47	-0.927078	47	-0.948537	47	-0.927078	47	-0.987364	47	-0.984120	47	-0.930892	47	-0.934532	47	-0.991976	47	-0.988309	47	-0.979641	47	-0.944085	47	-0.959185	47	-0.976412	47	-0.917275	47	-0.934470	47	-0.049514	47	0.075946	47	0.238830	47	-0.986597	47	-0.981579	47	-0.986053	47	-0.987493	47	-0.982514	47	-0.988339	47	0.256611	47	0.047544	47	0.092392	47	-0.976161	47	-0.975839	47	-0.951316	47	-0.977904	47	-0.962345	47	-0.943918	47	0.189153	47	0.063127	47	-0.029784	47	-0.947783	47	-0.928445	47	0.236655	47	-0.985262	47	-0.981606	47	0.351852	47	-0.958436	47	-0.932198	47	-0.000262	47	-0.989798	47	-0.987050	47	0.184776	47	0.027442	47	0.029710	47	0.067698	47	-0.064882	47	-0.591247	47	-0.060466	47	-0.218017	47
1	STANDING	0.278918	53	-0.016138	53	-0.110602	53	-0.995760	53	-0.973190	53	-0.979776	53	0.942952	53	-0.272984	53	0.013491	53	-0.993763	53	-0.981226	53	-0.976324	53	0.075377	53	0.007976	53	-0.003685	53	-0.994605	53	-0.985649	53	-0.992251	53	-0.023988	53	-0.059397	53	0.074801	53	-0.987192	53	-0.987734	53	-0.980646	53	-0.099609	53	-0.044063	53	-0.048951	53	-0.992945	53	-0.995138	53	-0.992108	53	-0.984278	53	-0.981943	53	-0.984278	53	-0.981943	53	-0.992368	53	-0.993096	53	-0.976494	53	-0.978690	53	-0.994967	53	-0.994733	53	-0.995250	53	-0.977071	53	-0.985297	53	-0.996028	53	-0.972293	53	-0.977937	53	0.086515	53	0.117479	53	0.244859	53	-0.994631	53	-0.985419	53	-0.990752	53	-0.995074	53	-0.987018	53	-0.992350	53	0.314183	53	0.039162	53	0.138581	53	-0.986387	53	-0.988984	53	-0.980773	53	-0.987497	53	-0.987108	53	-0.982345	53	-0.120293	53	-0.044719	53	0.100608	53	-0.985356	53	-0.982314	53	0.284555	53	-0.992542	53	-0.992536	53	0.422220	53	-0.984618	53	-0.978466	53	-0.028606	53	-0.994815	53	-0.994671	53	0.334499	53	-0.000222	53	0.021964	53	-0.033794	53	-0.027923	53	-0.743408	53	0.270175	53	0.012253	53
1	WALKING	0.277331	95	-0.017384	95	-0.111148	95	-0.283740	95	0.114461	95	-0.260028	95	0.935223	95	-0.282165	95	-0.068103	95	-0.976610	95	-0.971306	95	-0.947717	95	0.074042	95	0.028272	95	-0.004168	95	-0.113616	95	0.067003	95	-0.502700	95	-0.041831	95	-0.069530	95	0.084945	95	-0.473535	95	-0.054608	95	-0.344267	95	-0.089998	95	-0.039843	95	-0.046131	95	-0.207422	95	-0.304469	95	-0.404255	95	-0.136971	95	-0.219689	95	-0.136971	95	-0.219689	95	-0.141429	95	-0.074472	95	-0.160980	95	-0.186978	95	-0.298704	95	-0.325325	95	-0.202794	95	0.089713	95	-0.331560	95	-0.319135	95	0.056040	95	-0.279687	95	-0.207548	95	0.113094	95	0.049727	95	-0.170547	95	-0.035226	95	-0.468999	95	-0.133587	95	0.106740	95	-0.534713	95	-0.209262	95	-0.386237	95	-0.185530	95	-0.339032	95	-0.103059	95	-0.255941	95	-0.516692	95	-0.033508	95	-0.436562	95	0.014784	95	-0.065775	95	0.000773	95	-0.128623	95	-0.398033	95	0.190644	95	-0.057119	95	-0.103492	95	0.093822	95	-0.199253	95	-0.321018	95	0.268844	95	-0.319309	95	-0.381602	95	0.190663	95	0.060454	95	-0.007930	95	0.013059	95	-0.018743	95	-0.729247	95	0.276953	95	0.068859	95
1	WALKING_DOWNSTAIRS	0.289188	49	-0.009919	49	-0.107566	49	0.030035	49	-0.031936	49	-0.230434	49	0.931874	49	-0.266610	49	-0.062120	49	-0.950560	49	-0.937019	49	-0.895940	49	0.054155	49	0.029650	49	-0.010972	49	-0.012284	49	-0.101601	49	-0.345735	49	-0.035078	49	-0.090937	49	0.090085	49	-0.458031	49	-0.126349	49	-0.124702	49	-0.073959	49	-0.043990	49	-0.027046	49	-0.487027	49	-0.238825	49	-0.268761	49	0.027188	49	0.019884	49	0.027188	49	0.019884	49	-0.089447	49	-0.025788	49	-0.075741	49	-0.225724	49	-0.295464	49	-0.306511	49	0.038229	49	0.001550	49	-0.225574	49	0.024331	49	-0.112964	49	-0.297928	49	-0.307395	49	0.063220	49	0.294323	49	-0.027664	49	-0.128667	49	-0.288335	49	-0.086328	49	-0.134580	49	-0.401721	49	-0.253164	49	-0.337590	49	0.009372	49	-0.352450	49	-0.055702	49	-0.031869	49	-0.495422	49	-0.181415	49	-0.238444	49	-0.100454	49	0.082551	49	-0.075676	49	0.096585	49	-0.186530	49	0.119187	49	0.026218	49	-0.104052	49	0.076492	49	-0.185720	49	-0.398350	49	0.349614	49	-0.281963	49	-0.391920	49	0.190001	49	-0.002695	49	0.089932	49	0.063338	49	-0.039977	49	-0.744484	49	0.267246	49	0.065005	49
1	WALKING_UPSTAIRS	0.255462	53	-0.023953	53	-0.097302	53	-0.354708	53	-0.002320	53	-0.019479	53	0.893351	53	-0.362153	53	-0.075403	53	-0.956367	53	-0.952849	53	-0.912379	53	0.101373	53	0.019486	53	-0.045563	53	-0.446844	53	-0.378274	53	-0.706594	53	0.050549	53	-0.166170	53	0.058360	53	-0.544871	53	0.004105	53	-0.507169	53	-0.122233	53	-0.042149	53	-0.040713	53	-0.614787	53	-0.601697	53	-0.606332	53	-0.129928	53	-0.324971	53	-0.129928	53	-0.324971	53	-0.466503	53	-0.478992	53	-0.126736	53	-0.148619	53	-0.594883	53	-0.648553	53	-0.404322	53	-0.190977	53	-0.433350	53	-0.337428	53	0.021770	53	0.085957	53	-0.418735	53	-0.160697	53	-0.520115	53	-0.479875	53	-0.413445	53	-0.685474	53	-0.461907	53	-0.381777	53	-0.726040	53	-0.377023	53	-0.509496	53	-0.551104	53	-0.492612	53	-0.319475	53	-0.453597	53	-0.565892	53	0.151539	53	-0.571708	53	-0.187450	53	-0.473575	53	-0.133374	53	-0.352396	53	-0.416260	53	-0.097743	53	-0.442652	53	-0.533060	53	0.085352	53	-0.325961	53	-0.182986	53	-0.219303	53	-0.634665	53	-0.693931	53	0.114277	53	0.096086	53	-0.061084	53	-0.194700	53	0.065684	53	-0.647196	53	0.334763	53	0.074166	53
3	LAYING	0.275517	62	-0.018956	62	-0.101300	62	-0.982777	62	-0.962058	62	-0.963691	62	-0.241758	62	0.837032	62	0.488703	62	-0.982512	62	-0.981203	62	-0.964808	62	0.076981	62	0.013804	62	-0.004356	62	-0.980879	62	-0.968711	62	-0.982093	62	-0.020817	62	-0.071851	62	0.138000	62	-0.974546	62	-0.977273	62	-0.963506	62	-0.100044	62	-0.038977	62	-0.068734	62	-0.980329	62	-0.986763	62	-0.983338	62	-0.972791	62	-0.964218	62	-0.972791	62	-0.964218	62	-0.979485	62	-0.976121	62	-0.951565	62	-0.954275	62	-0.986714	62	-0.983139	62	-0.980666	62	-0.961170	62	-0.968332	62	-0.983691	62	-0.964095	62	-0.963279	62	-0.073953	62	0.238471	62	0.216972	62	-0.980513	62	-0.968752	62	-0.979122	62	-0.983123	62	-0.971044	62	-0.983712	62	0.175979	62	-0.013177	62	0.044820	62	-0.970167	62	-0.978100	62	-0.962342	62	-0.975986	62	-0.977032	62	-0.967257	62	-0.082217	62	-0.026682	62	0.147686	62	-0.965524	62	-0.968350	62	0.236990	62	-0.975950	62	-0.975305	62	0.238611	62	-0.964587	62	-0.955442	62	-0.022930	62	-0.984278	62	-0.982568	62	0.110698	62	0.017896	62	0.016648	62	0.045587	62	0.031726	62	0.423506	62	-0.630063	62	-0.346243	62
3	SITTING	0.257198	52	-0.003503	52	-0.098358	52	-0.971010	52	-0.856618	52	-0.875110	52	0.901099	52	0.127303	52	0.139021	52	-0.957324	52	-0.903923	52	-0.897736	52	0.072610	52	0.002725	52	-0.004233	52	-0.974467	52	-0.953631	52	-0.974662	52	-0.038537	52	-0.075241	52	0.094011	52	-0.965435	52	-0.944855	52	-0.926414	52	-0.103606	52	-0.036091	52	-0.059008	52	-0.972547	52	-0.978636	52	-0.973752	52	-0.895383	52	-0.870302	52	-0.895383	52	-0.870302	52	-0.969081	52	-0.966550	52	-0.919354	52	-0.925518	52	-0.977998	52	-0.976773	52	-0.970154	52	-0.891908	52	-0.917988	52	-0.971606	52	-0.849656	52	-0.864322	52	0.031299	52	-0.006616	52	0.047862	52	-0.974950	52	-0.954170	52	-0.970846	52	-0.976284	52	-0.956462	52	-0.977160	52	0.215732	52	-0.095915	52	-0.043747	52	-0.957551	52	-0.956174	52	-0.934968	52	-0.968013	52	-0.939610	52	-0.930633	52	0.052084	52	-0.166042	52	-0.038747	52	-0.904186	52	-0.874627	52	0.028160	52	-0.965889	52	-0.966569	52	0.286796	52	-0.946665	52	-0.925450	52	-0.115526	52	-0.977898	52	-0.976690	52	0.087190	52	0.032717	52	0.004078	52	0.064371	52	-0.025236	52	-0.759812	52	-0.006325	52	-0.078393	52
3	STANDING	0.280047	61	-0.014338	61	-0.101622	61	-0.966743	61	-0.893449	61	-0.911419	61	0.935031	61	-0.301735	61	0.024763	61	-0.982020	61	-0.957425	61	-0.928162	61	0.075090	61	0.007717	61	-0.008072	61	-0.957086	61	-0.941687	61	-0.973060	61	-0.024663	61	-0.058510	61	0.066526	61	-0.900462	61	-0.927789	61	-0.912364	61	-0.099460	61	-0.047242	61	-0.041683	61	-0.940938	61	-0.968434	61	-0.958293	61	-0.925431	61	-0.915143	61	-0.925431	61	-0.915143	61	-0.959304	61	-0.948770	61	-0.892089	61	-0.882125	61	-0.962339	61	-0.957680	61	-0.960123	61	-0.908075	61	-0.939508	61	-0.969931	61	-0.892434	61	-0.904801	61	-0.087025	61	-0.128180	61	0.007719	61	-0.957667	61	-0.943498	61	-0.969175	61	-0.960571	61	-0.943949	61	-0.975596	61	0.074956	61	-0.258165	61	-0.112368	61	-0.901282	61	-0.937711	61	-0.916173	61	-0.901986	61	-0.923126	61	-0.919744	61	-0.297107	61	-0.316011	61	-0.229120	61	-0.926969	61	-0.921836	61	-0.000333	61	-0.948627	61	-0.948207	61	0.129816	61	-0.913682	61	-0.883440	61	-0.309822	61	-0.960332	61	-0.957122	61	-0.020631	61	0.007728	61	0.024655	61	0.009799	61	-0.050544	61	-0.711904	61	0.289824	61	0.004571	61
3	WALKING	0.275567	58	-0.017177	58	-0.112675	58	-0.360357	58	-0.069914	58	-0.387412	58	0.936507	58	-0.261986	58	-0.138108	58	-0.977772	58	-0.962356	58	-0.952092	58	0.081475	58	0.010059	58	-0.005623	58	-0.268680	58	-0.044962	58	-0.529486	58	-0.025641	58	-0.077915	58	0.081349	58	-0.571870	58	-0.563793	58	-0.476696	58	-0.095240	58	-0.038787	58	-0.050362	58	-0.385923	58	-0.639088	58	-0.536664	58	-0.254690	58	-0.328429	58	-0.254690	58	-0.328429	58	-0.280009	58	-0.139916	58	-0.466412	58	-0.561511	58	-0.566135	58	-0.567372	58	-0.316614	58	-0.081302	58	-0.412374	58	-0.379277	58	-0.124031	58	-0.422998	58	-0.246614	58	0.171743	58	0.074854	58	-0.304694	58	-0.140509	58	-0.514137	58	-0.296597	58	-0.005615	58	-0.543529	58	-0.216043	58	-0.258668	58	-0.346947	58	-0.437846	58	-0.561526	58	-0.418126	58	-0.615121	58	-0.568889	58	-0.545896	58	0.033760	58	-0.037990	58	-0.044508	58	-0.290032	58	-0.456373	58	0.113494	58	-0.186765	58	-0.089852	58	-0.117164	58	-0.569756	58	-0.632643	58	0.180946	58	-0.607752	58	-0.549087	58	0.045762	58	0.052750	58	-0.076302	58	0.096844	58	-0.036689	58	-0.722804	58	0.262492	58	0.117403	58
